id;created_at;updated_at;name;name_uz;alias;sorting;status;main
1;2020-03-25T06:41:05;2020-03-25T08:12:31;Harbor open-source;lavender ivory bypassing;District HTTP e-commerce;-9455;false;true
2;2020-03-24T13:55:20;2020-03-24T15:57:28;XML orchestrate Planner;enterprise Belarussian Ruble;fuchsia;6884;false;true
3;2020-03-24T22:42:40;2020-03-25T07:51:30;harness architectures red;Dominica;Program Identity;1157;false;false
4;2020-03-24T12:36:58;2020-03-24T22:50:14;array;Chicken violet;Home Loan Account deposit;-7554;true;true
5;2020-03-25T00:06:41;2020-03-25T06:40:50;Investor Cheese;archive;Human Versatile;-4202;true;false
6;2020-03-25T08:59:04;2020-03-24T22:03:31;payment;Product Communications Berkshire;Tonga systems Forks;-1731;true;false
7;2020-03-24T23:23:33;2020-03-24T23:43:43;invoice;United States of America invoice;Sleek Steel Sausages;-7815;false;true
8;2020-03-25T00:39:42;2020-03-25T03:12:13;Leone Kids leading-edge;TCP;National;4412;true;false
9;2020-03-24T23:05:24;2020-03-24T23:38:23;Quality salmon Pitcairn Islands;Tasty Avon empower;Corners Marshall Islands Public-key;7618;false;true
10;2020-03-25T04:42:07;2020-03-24T19:25:47;global;Agent Reactive;Arizona 6th generation capacity;3494;true;false
